id,Source,Target,Reference,Orig-Nasal-As-Line,Orig-Nasal-As-Tilde
1342,e' kíx ie bakòxs Sibòq tö se' ã ujtè bua' yë' ã e' kiànã ãñìxes ĩùxte,además Sibö̀ nos dejó dicho cosas buenas que también se deben responder,CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,e' kí̱ ie bakò̱s Sibö̀ tö se' a̱ ujtè bua' yë' a̱ e' kiàna̱ a̱ñì̱es i̱ù̱te,
1343,"i chèrak é tö wéx icha irir tso' se' wã se' wã : chkà katè ñáxnõ , e' kèq ajkéqũk se' kànẽ ãñìx yòqkĩ","dicen que lo que tenemos de nosotros , de nosotros: carne para comer , eso no se mezquina a los demás",CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,"i chèrak é tö wé̱ icha irir tso' se' wa̱ se' wa̱: chkà katè ñá̱no̱, e' kë̀ ajkë́u̱k se' kàne̱ a̱ñì̱ yö̀ki̱",
1344,ĩàxnã tã àxs se' se' séxndak wèxs ie' kĩ i kiànã e's,para que vivamos como quiere él,CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,i̱à̱na̱ ta̱ à̱s se' se' sé̱ndak wè̱s ie' ki̱ i kiàna̱ e's,
1345,míxkã se' tsikìnã e'tã se' wíköl dé se' se' e' réwã se' ã,"cuando nacemos nuestra , nuestra imagen viene integrada con nosotros",CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,mí̱ka̱ se' tsikìna̱ e'ta̱ se' wíköl dé se' se' e' réwa̱ se' a̱,
1346,"e' wa se' séxrkẽ , bakòxs se' se' yàmĩpa tso'sẽn e'tã ãñìx tã sèxnũk ãñìx daléqri tsúxk , ãñìx kímũkdak , ãñìx dalòqiökdak wèxs Sibòq tö se' ã sa' ã i yë'ãt e's","con eso vivimos , toda la familia que somos , vivir entre nosotros , querernos , ayudarnos , respetarnos como Sibö̀ nos dejó dicho así",CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,"e' wa se' sé̱rke̱, bakò̱s se' se' yàmi̱pa tso'se̱n e'ta̱ a̱ñì̱ ta̱ sè̱nu̱k a̱ñì̱ dalë́ri tsú̱k, a̱ñì̱ kímu̱kdak, a̱ñì̱ dalö̀iökdak wè̱s Sibö̀ tö se' a̱ sa' a̱ i yë'a̱t e's",
1347,"e' kũéxkĩ ye'r a' ã i pàkekẽ tö íxẽ sa' sa' tsikírkẽ wèxs , e' pàkekẽ sa' tö ñéxẽ míxkã sa' tsáxwe déqbitũdak e' dör bóql , mãñáxl èqmẽ","por eso yo les voy a explicar aquí cómo nacemos , nosotros decimos que en un principio venimos unos dos o tres nada más",CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,"e' ku̱é̱ki̱ ye'r a' a̱ i pàkeke̱ tö í̱e̱ sa' sa' tsikírke̱ wè̱s, e' pàkeke̱ sa' tö ñé̱e̱ mí̱ka̱ sa' tsá̱we dë́bitu̱dak e' dör bö́l, ma̱ñá̱l ë̀me̱",
1348,"ie'pa tö íxẽ wé , wéla tkéqrkã kièkẽ alà wé","ellos aquí tienen puesta la casa , la casita que se llama casa del hijo",CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,"ie'pa tö í̱e̱ wé, wéla tkë́rka̱ kièke̱ alà wé",
1349,ése tkéqrkãrak irir íxẽ e'tã íxẽ alákölpa bitũkẽrak ẽ' ala'r tsikírkẽtke e'tã,"así esa la tienen puesta aquí , entonces las mujeres vienen aquí cuando ya va a nacer el hijo",CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,ése tkë́rka̱rak irir í̱e̱ e'ta̱ í̱e̱ alákölpa bitu̱ke̱rak e̱' ala'r tsikírke̱tke e'ta̱,
1350,ĩàxnã tã e' e' tsikìnã tã íxẽ íxẽ awá irir óköm e' rö i kãnèxũk i kapèbalök,para que nazca y el awá y el óköm ellos se encargan de prepararlo de ungirlo,CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,i̱à̱na̱ ta̱ e' e' tsikìna̱ ta̱ í̱e̱ í̱e̱ awá irir óköm e' rö i ka̱nè̱u̱k i kapèblök,
1351,ĩàxnã tã i bátsenãmũlẽ e'tã i míxtkemũlẽ wéxshkẽ,para que se purifique y pueda ya irse a la casa,CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,i̱à̱na̱ ta̱ i bátsena̱mu̱le̱ e'ta̱ i mí̱tkemu̱le̱ wé̱shke̱,
1352,e's sa' tö íxẽ tã i kãnèxwèxkẽ,es aquí donde nosotros solemos hacerlo,CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,e's sa' tö í̱e̱ ta̱ i ka̱nè̱wè̱ke̱,
1353,bakòxs Sibòq tö sa' i pàke e' ujtè wa tö sa' tso'sẽn sèxnũk,"lo que Sibö̀ nos explicó con su palabra , nosotros lo estamos viviendo",CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,bakò̱s Sibö̀ tö sa' i pàke e' ujtè wa tö sa' tso'se̱n sè̱nu̱k,
1354,"e' yë'ãt i wák tö e' kãnèxũk , se' ka' irir","así lo dijo él mismo para que lo hagamos , él no lo dejo",CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,"e' yë'a̱t i wák tö e' ka̱nè̱u̱k, se' ka' irir",
1355,"e' kãnèxũk ie' wã , ie' bák mìxk ie' bák tsîr e'tã",él estuvo haciendo esto cuando él era pequeño,CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,"e' ka̱nè̱u̱k ie' wa̱ , ie' bák mì̱k ie' bák tsîr e'ta̱",
1356,e' yë' irir tö wéx chè kèq dör ie' ã ie' dör Sibòq e' kũéxkĩ kèq kèq ie' ã tã bua' e' yö' irir se' se' wákpa èq ã,"él dijo que lo que dice no es para él , él es Sibö̀ por eso no , no es bueno para él , lo hizo solamente para nosotros",CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,e' yë' irir tö wé̱ chè kë̀ dör ie' a̱ ie' dör Sibö̀ e' ku̱é̱ki̱ kë̀ kë̀ ie' a̱ ta̱ bua' e' yö' irir se' se' wákpa ë̀ a̱,
1357,e' kũéxkĩ e's yö a' ĩã i pàkekẽ,por eso así se los explico a ustedes,CorpusSofia B11h04m40s29jun2014.html Sobre la cosmovisión bribri de la vida humana,e' ku̱é̱ki̱ e's yö a' i̱a̱ i pàkeke̱,
1358,"ujú ! "" bueno "" ye' tsiru' "" como "" ye' tsiru' tã' ye' tsiru' tã' ãwìx","ujú , bueno mi cacao como tengo cacao , allá tengo cacao",CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,"¡ujú! ""bueno"" ye' tsiru' ""como"" ye' tsiru' ta̱' ye' tsiru' ta̱' a̱wì̱",
1359,"i' èq káx ye' ù ajkéx ye' tsiru' tã' ye' icha "" propio """,por este lado de mi casa tengo cacao que es mío propio,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,"i' ë̀ ká̱ ye' ù ajké̱ ye' tsiru' ta̱' ye' icha ""propio""",
1360,ahora e' mìxk ye'r i kiè míxk alí,ahora cuando estos yo digo cuando están maduros,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,ahora e' mì̱k ye'r i kiè mí̱k alí,
1361,"entonces sö e' alí tèkẽ "" cortadora "" wa",entonces los cortamos con la cortadora,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,"entonces sö e' alí tèke̱ ""cortadora"" wa",
1362,"té kókó "" entonces ya ""","cortado "" kó kó "" entonces ya",CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,"té kókó ""entonces ya""",
1363,"détsã "" tal vez "" "" saco "" e'k",saca tal vez un saco,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,"détsa̱ ""tal vez"" ""saco"" e'k",
1364,entonces be'r i méxãt mã ẽmã,entonces usted lo deja pues,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,entonces be'r i mé̱a̱t ma̱ e̱ma̱,
1365,káx dòq pàköl káx sũlìxtu,hasta ocho días nueve días,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,ká̱ dö̀ pàköl ká̱ su̱lì̱tu,
1366,e'tã e' e' mìxk e' sũlìxtu tã be'r i méxr síũk dìba ã,entonces después de nueve días usted lo pone a secar al sol,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,e'ta̱ e' e' mì̱k e' su̱lì̱tu ta̱ be'r i mé̱r síu̱k dìba a̱,
1367,e' tã bétk i sìnãwã bétk i sìnã,y se seca rápido rápido,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,e' ta̱ bétk i sìna̱wa̱ bétk i sìna̱,
1368,"e' tã káx tkéql e' tã "" ya "" i sìnã",durante cuatro días ya está seco,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,"e' ta̱ ká̱ tkë́l e' ta̱ ""ya"" i sìna̱",
1369,"tkéql e' tã i sìnã "" entonces """,en cuatro días se seca entonces,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,"tkë́l e' ta̱ i sìna̱ ""entonces""",
1370,"mìxk i sìnã tã séx e's irir e' tã e' kukèkẽtke ùx bá kĩ , sãúx ye' tso' ãwìx kukóqk ãwìx ẽ' i kukóqk","cuando se seca como así se tuesta ya en una cazuela ardiente , vea como yo estoy tostando allá tostando allá",CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,"mì̱k i sìna̱ ta̱ sé̱ e's irir e' ta̱ e' kukèke̱tke ù̱ bá ki̱, sa̱ú̱ ye' tso' a̱wì̱ kukö́k a̱wì̱ e̱' i kukö́k",
1371,"ùx kĩ "" entonces "" mìxk e' katùnã "" entonces """,en una cazuela entonces cuando se tuesta entonces,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,"ù̱ ki̱ ""entonces"" mì̱k e' katùna̱ ""entonces""",
1372,e' wòqishchèkẽ e' ajkuóqlit yéulur,se pela quitando las cáscaras,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,e' wö̀ishchèke̱ e' ajkuö́lit yéulur,
1373,"entonces i wòq èq àxtẽ "" entonces "" e' wèkẽ "" máquina "" kĩ , "" máquina "" kĩ sa'r i wèkẽ","entonces quedan solamente las semillas entonces esas se muelen en la máquina , en la máquina nosotros las molemos",CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,"entonces i wö̀ ë̀ à̱te̱ ""entonces"" e' wèke̱ ""máquina"" ki̱ , ""máquina"" ki̱ sa'r i wèke̱",
1374,ujú ! e's e's sa' tsiru' wòqkẽ,ujú ! así así nosotros molemos el cacao,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,¡ujú! e's e's sa' tsiru' wö̀ke̱,
1375,"máquina kĩ , "" no "" , ĩâxchkí , ĩâxchkí tã akéqkëpa i wèkẽ","en la máquina , no , antes , antes los mayores molían",CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,"máquina ki̱, ""no"", i̱â̱chkí, i̱â̱chkí ta̱ kë́këpa i wèke̱",
1376,ák kĩ ajá ! ák kĩ,en piedra ajá ! en piedra,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,ák ki̱ ¡ajá! ák ki̱,
1377,"ĩâxchkí "" pero "" "" ahora "" îxñẽ tã "" no "" kèq sa' ák tã' , kèq ì tã' "" entonces "" sa'r i wèkẽ "" máquina "" kĩ","antes pero hoy en día no tenemos piedra , no tenemos nada entonces molemos en máquina",CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,"i̱â̱chkí ""pero"" ""ahora"" î̱ñe̱ ta̱ ""no"" kë̀ sa' ák ta̱', kë̀ ì ta̱' ""entonces"" sa'r i wèke̱ ""máquina"" ki̱",
1378,ajá ! e's sa' tsiru' kukòqkẽ i wèkẽ,"ajá , así nosotros tostamos y molemos el cacao",CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,¡ajá! e's sa' tsiru' kukö̀ke̱ i wèke̱,
1379,e's,así,CorpusSofia B10h27m47s25oct2015.html Sobre la preparación del cacao,e's,
1380,bueno íxẽ se' rè e'tã íxẽ sa' yulár wòqkẽ,bueno aquí llegamos donde molemos maíz,CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,bueno í̱e̱ se' rè e'ta̱ í̱e̱ sa' yulár wö̀ke̱,
1381,"wèxs a'r i sãwèx , e' dör sa' bribripa yulár wòq e's","como lo están viendo , así es como nosotros los bribris molemos maíz",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"wè̱s a'r i sa̱wè̱, e' dör sa' bribripa yulár wö̀ e's",
1382,sa' ã Sibòq tö ák mèxãt yulár wóqköl ie,a nosotros Sibö̀ nos dejó la piedra para moler maíz,CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,sa' a̱ Sibö̀ tö ák mè̱a̱t yulár wö́köl ie,
1383,"e' kèq wã irir ôxka mèxnẽãt yulár wóqk , e' kũéxkĩ sa' tö yulár wèkẽ ãwìx e's","esto no lo dejó para que muelan la masa de maíz los que no son familia , por eso nosotros molemos el maíz allí así",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"e' kë̀ wa̱ irir ô̱ka mè̱ne̱a̱t yulár wö́k, e' ku̱é̱ki̱ sa' tö yulár wèke̱ a̱wì̱ e's",
1384,"akéqkëpa tö i pàke tö Sibòq wã sa' rë'kã káx dià ã , káx kièkẽ Sula' káxska , ẽ' sa' mãnèxtẽ ditsòqwö ie","los mayores dicen que Sibö̀ nos trajo a un lugar allá abajo , el lugar se llama el lugar de Sula' , allí nosotros venimos como semilla",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"kë́këpa tö i pàke tö Sibö̀ wa̱ sa' rë'ka̱ ká̱ dià a̱, ká̱ kièke̱ Sula' ká̱ska, e̱' sa' ma̱nè̱te̱ ditsö̀wö ie",
1385,"ditsòqwö dör ikuòqwö ése , ése ditséwö sa' dör","la semilla es de maíz , de esa semilla somos nosotros",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"ditsö̀wö dör ikuö̀wö ése, ése ditséwö sa' dör",
1386,"e' kũéxkĩ mìxkã sa' tskìnẽ káx kièkẽ Sulàyöm , e'tã sa' rë'kã se' ie , e'tã Sibòq tö sa' ã ikuòqwö mẽ'ãt ñáxnõ , katánõ , sa' ã chkóqköl ie , sèxnũköl ie","por eso cuando nacimos en un lugar llamado Sulàyöm , llegamos en forma de humanos , entonces Sibö̀ nos dejó el maíz para comer alimentos duros , alimentos blandos , para alimentarnos , para vivir .",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"e' ku̱é̱ki̱ mì̱ka̱ sa' tskìne̱ ká̱ kièke̱ Sulàyöm, e'ta̱ sa' rë'ka̱ se' ie, e'ta̱ Sibö̀ tö sa' a̱ ikuö̀wö me̱'a̱t ñá̱no̱, katáno̱, sa' a̱ *chkö́köl* ie, *sè̱nu̱köl* ie",
1387,"e' kũéxkĩ tã sa' tö îxñẽ tã ikuòqwö katèkẽ sa' tö mìxk ĩã nêxnẽ e'tã "" hasta "" rö mìxk i sìxnã éjkë , e' ĩàxnã tã e' mìxk se' tso'sẽn","por eso nosotros hoy comemos maíz desde que está tierno hasta cuando está seco , para de eso ir nosotros viviendo",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"e' ku̱é̱ki̱ ta̱ sa' tö î̱ñe̱ ta̱ ikuö̀wö katèke̱ sa' tö mì̱k i̱a̱ nê̱ne̱ e'ta̱ ""hasta"" rö mì̱k i sì̱na̱ éjkë, e' i̱à̱na̱ ta̱ e' mì̱k se' tso'se̱n",
1388,"ãwíx i ùrkẽ , ãwíx e' kièkẽ yulár , yulár wòq","aquel que se está moliento , aquel se llama masa maíz , muele la masa de maíz",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"a̱wí̱ i ùrke̱, a̱wí̱ e' kièke̱ yulár, yulár wö̀",
1389,"sa' , sa' ujtòqie tã , wèxs sa' séxrkẽ e'tã , sa' sa' yàmĩpa ĩã bùsila e'tã ẽ' wóqulâùxkẽ ikuòqwö ö yulár wóqk","en nuestro , nuestro idioma , como nosotros vivimos , nuestras , nuestras muchachas cuando son jovencitas aprenden a moler granos de maíz o a moler masa de maíz",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"sa', sa' ujtö̀ie ta̱, wè̱s sa' sé̱rke̱ e'ta̱, sa' sa' yàmi̱pa i̱a̱ bùsila e'ta̱ e̱' wö́ulâù̱ke̱ ikuö̀wö ö yulár wö́k",
1390,"ĩàxnã tã mìxkã i rè bùsi tã , ulà batsèmĩ , màxso kúxrmĩ , e'tã ẽ' wóqulânãtketke yulár wóqk","para que cuando llegue a muchacha , puede casarse , se puede encontrar una pareja , y ya ha aprendido a moler masa de maíz",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"i̱à̱na̱ ta̱ mì̱ka̱ i rè bùsi ta̱, ulà batsèmi̱, mà̱so kú̱rmi̱, e'ta̱ e̱' wö́ulâna̱tketke yulár wö́k",
1391,"i éki séx tsèxkẽ sa' tö , e'tã e' tsèxkẽ éyökie","esa piedra la buscamos nosotros , la buscamos en grupo",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"i éki sé̱ tsè̱ke̱ sa' tö, e'ta̱ e' tsè̱ke̱ éyökie",
1392,"kèq e' dòqkã se' kĩ ékölëmẽ , e' kũéxkĩ se' kièkẽ éyökie ĩàxnã tã e's , e's e' ròq","no la alza una persona solamente , por eso nosotros llamamos a un grupo para así , así traerla",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"kë̀ e' dö̀ka̱ se' ki̱ ékölëme̱, e' ku̱é̱ki̱ se' kièke̱ éyökie i̱à̱na̱ ta̱ e's, e's e' rö̀",
1393,"e'tã e' kéx wã tã sö balo' yèkẽ , e' kéx wã tã se' chkòqkẽrak , e' kéx wã tã se' tso'rak ñîx tã axñìx axñìx axñìx kímũkdak","ese día tomamos chicha , ese día comemos , ese día estamos todo el día juntos ayudándonos",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"e'ta̱ e' ké̱ wa̱ ta̱ sö blo' yèke̱, e' ké̱ wa̱ ta̱ se' chkö̀ke̱rak, e' ké̱ wa̱ ta̱ se' tso'rak ñî̱ ta̱ ñì̱ ñì̱ ñì̱ kímu̱kdak",
1394,"é ! wéxse , wéxse ése yìr , yìr ièkẽ be' tã i éki ñéx rè wéxshkẽ sa' ù ã","e ! de qué manera , de qué manera alguien , alguien le trae con usted esa piedra hasta dentro de nuestra casa",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"¡é! wé̱se, wé̱se ése yìr, yìr ièke̱ be' ta̱ i éki ñé̱ rè wé̱shke̱ sa' ù a̱",
1395,e' kũéxkĩ sa' ã tã bua' irir,por eso para nosotros es buena,CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,e' ku̱é̱ki̱ sa' a̱ ta̱ bua' irir,
1396,"mìxkle tã ák tso'sẽn ãwíxes e'rör wéx e'köl èq ĩã , mìxkle tã i tso' tö wèkẽ yì mã bua'r kiàxnã i wóqk e'tã e' rè i wóqk ẽ'rö","algunas veces hay piedras ahí así , esa es solamente para una persona , a veces las hay donde varios muelen , pues quieren moler muy bien , entonces llegan ahí a moler",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"mì̱kle ta̱ ák tso'se̱n a̱wí̱es e'rör wé̱ e'köl ë̀ i̱a̱, mì̱kle ta̱ i tso' tö wèke̱ yì ma̱ bua'r kià̱na̱ i wö́k e'ta̱ e' rè i wö́k e̱'rö",
1397,"e's sa' wákpa séxndak axñìx tã , e' rö sa' ujtòq , sa' séxn , e' e' pàke sa' tö","así nuestro pueblo vive unido , nuestro idioma , nuestra forma de vida , eso contamos nosotros",CorpusSofia B10h10m50s29jun2014.html Sobre el valor del maíz en la cultura bribri,"e's sa' wákpa sé̱ndak ñì̱ ta̱, e' rö sa' ujtö̀, sa' sé̱n, e' e' pàke sa' tö",
1398,é ĩâxchki tã,hace mucho tiempo,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,é i̱â̱chki ta̱,
1399,dawás ĩâxchki tã balë'kéqkëpa,hace muchos años los mayores,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,dawás i̱â̱chki ta̱ blë'kë́këpa,
1400,balë'kéqkëpa rö i pàke sa' ã tö tö,los mayores nos contaban que que,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,blë'kë́këpa rö i pàke sa' a̱ tö tö,
1401,púx bák sa' katóqk ĩâxchki,hace mucho tiempo había un águila que nos comía,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,pú̱ bák sa' katö́k i̱â̱chki,
1402,e'tã púx e' e'ta ĩâxchki tã,entonces esa águila de aquel tiempo,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,e'ta̱ pú̱ e' e'ta i̱â̱chki ta̱,
1403,"kèq ì tã' sa' ã púx tó ie "" porque """,nosotros no teníamos nada para matar al águila porque,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,"kë̀ ì ta̱' sa' a̱ pú̱ tó ie ""porque""",
1404,"íyiwak bêqrie e' rö , púx tãîx e' rö","era un animal grande , era un águila enorme",CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,"íyiwak bë̂rie e' rö, pú̱ ta̱î̱ e' rö",
1405,e' wã kòxs se' tso'sẽr íxẽ e' míxkẽ tséxr,a todos los que estábamos ahí iba a llevarnos,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,e' wa̱ kò̱s se' tso'se̱r í̱e̱ e' mí̱ke̱ tsé̱r,
1406,ie' wã se' míx tséxr íxẽ,ella nos va llevando de aquí,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,ie' wa̱ se' mí̱ tsé̱r í̱e̱,
1407,"bêqrbêqr ie' wã se' mîxkẽ tséxr , tsáxlĩ ie' wã se' míxkẽ tséxr","a cada momento ella nos venía a llevar , en la tarde nos venía a llevar",CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,"bë̂rbë̂r ie' wa̱ se' mî̱ke̱ tsé̱r, tsá̱li̱ ie' wa̱ se' mí̱ke̱ tsé̱r",
1408,"ö dìwö wéxjkë ie' éxn ã se' tsáxkmĩ tã , ie' wã se' míx tséxr","a cualquier hora que ella quiera llevarnos , ella nos lleva",CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,"ö dìwö wé̱jkë ie' é̱n a̱ se' tsá̱kmi̱ ta̱, ie' wa̱ se' mí̱ tsé̱r",
1409,e' ukòqkĩ balë'kéqkëpa e' kãnèxõ' ie'par e' kãnèxõnẽ,"después de eso los mayores hicieron el trabajo , fue hecho el trabajo por ellos",CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,e' ukö̀ki̱ blë'kë́këpa e' ka̱nè̱o̱' ie'par e' ka̱nè̱o̱ne̱,
1410,kãnèxõrule wa,fue realizado,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,ka̱nè̱o̱rule wa,
1411,é balë'kéqkëpa wéx tso'sẽr wéx rö awápa,entre los mayores hay algunos que son suquias,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,é blë'kë́këpa wé̱ tso'se̱r wé̱ rö awápa,
1412,íxmã i kiè kãñíxk ã ûrikĩ wákpa,como se llama a los dueños de afuera en la selva,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,í̱ma̱ i kiè ka̱ñí̱k a̱ ûriki̱ wákpa,
1413,e' ã ie'par e' kãnèxõnẽ,por ellos fue hecho el trabajo,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,e' a̱ ie'par e' ka̱nè̱o̱ne̱,
1414,e' ukòqkĩ tã ie'pa rö tö,después ellos,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,e' ukö̀ki̱ ta̱ ie'pa rö tö,
1415,shkãláx wa ie'pa rö,con el humo ellos,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,shka̱lá̱ wa ie'pa rö,
1416,balë'kéqkëpa ã i ché tö i kãnèxũ,le dijeron a los mayores que lo trabajen,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,blë'kë́këpa a̱ i ché tö i ka̱nè̱u̱,
1417,balë'kéqkëpa rö i kãnèxwéx,los mayores hicieron el trabajo,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,blë'kë́këpa rö i ka̱nè̱wé̱,
1418,e' ukòqkĩ ie'pa rö wéx ië'kãmĩ ajkóq ã,después ellos empezaron a echarlo en la canasta,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,e' ukö̀ki̱ ie'pa rö wé̱ ië'ka̱mi̱ ajkö́ a̱,
1419,e' ajkóq ã ie'pa rö,en esa canasta ellos,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,e' ajkö́ a̱ ie'pa rö,
1420,e'köl se' ië'kãmĩ,echaron a una persona,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,e'köl se' ië'ka̱mi̱,
1421,e' shùx ã ie'pa wã kàl wóqlöm míx,adentro ellos llevaron un garrote,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,e' shù̱ a̱ ie'pa wa̱ kàl wö́löm mí̱,
1422,e' shùx ã ie'pa wã shkãláx míxrwã,adentro ellos llevaron el humo,CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,e' shù̱ a̱ ie'pa wa̱ shka̱lá̱ mí̱rwa̱,
1423,wéx púx wã se' mîxkẽ ajkóq e' ã ie'pa rö púx se' batsékã se' tséxmĩ ajkóq e' ã,"cuando el águila fue por la persona que estaba en esa canasta , ellos hicieron que el águila levantara a la persona y la llevara en esa canasta",CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,wé̱ pú̱ wa̱ se' mî̱ke̱ ajkö́ e' a̱ ie'pa rö pú̱ se' batséka̱ se' tsé̱mi̱ ajkö́ e' a̱,
1424,chéqr wéx púx séxr wéx ie' ishtirìnẽ tã e' ie' ẽ' tké dé ẽ'rö,"dicen que donde el águila vive cuando ella se cansa , ella se posó ahí",CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,chë́r wé̱ pú̱ sé̱r wé̱ ie' ishtirìne̱ ta̱ e' ie' e̱' tké dé e̱'rö,
1425,tã ie' kĩ káx tawìnã ie' dé e' tã ie' kĩ káx tawìnã tã,"cuando ella llegó se hizo la oscuridad sobre ella , se hizo la oscuridad sobre ella",CorpusSofia B17h28m07s11sep2012.html El águila que se comía a los bribris,ta̱ ie' ki̱ ká̱ tawìna̱ ie' dé e' ta̱ ie' ki̱ ká̱ tawìna̱ ta̱,
